compagny,country,url
Skovgaard dev,DK - DENMARK,/unik-openbuild.dk
DOETICAN LIMITED,CY - CYPRUS,101reel.com
Tekstilgalleriet,DK - DENMARK,123knit.dk
24meter AB,SE - SWEDEN,24meter.se
2tall.com Retail Limited,GB - UNITED KINGDOM,2tall.com
3dtotal.com Ltd,GB - UNITED KINGDOM,3dtotal.com
3W STORES UK LTD,GB - UNITED KINGDOM,3wstores.com
4ocean Public Benefit Corporation,US - UNITED STATES,4ocean.com
7digital Europe sarl,LU - LUXEMBOURG,7digital.com
American Association for the,US - UNITED STATES,aaas.org
"Advancement of Science
AbeBooks Inc.",CA - CANADA,abebooks.com
AbeBooks Europe GmbH,DE - GERMANY,abebooks.de
Ableton AG,DE - GERMANY,ableton.com
ABS-CBN Europe Ltd.,GB - UNITED KINGDOM,abs-cbn.com
ACBroadcast.com BV,NL - NETHERLANDS,acbroadcast.com
Activision Blizzard International BV,NL - NETHERLANDS,activisionblizzard.com
Adeve,SE - SWEDEN,adeve.se
EYEOH AB,SE - SWEDEN,adonia-no.com
Amazon Advertising LLC,US - UNITED STATES,advertising.amazon.com/
directtou llc,US - UNITED STATES,aent.com
Aeria Games Europe GmbH,DE - GERMANY,aeriagames.com
PAVICIAN LIMITED,CY - CYPRUS,afterworkfun.com
Exeligo Limited,GB - UNITED KINGDOM,agamemix360.com
MDE Huset ApS,DK - DENMARK,ahler-sko.dk
Ahlvar Gallery,SE - SWEDEN,ahlvar.com
AIIA Care ApS,DK - DENMARK,aiiacare.com
Airbnb Ireland,IE - IRELAND,airbnb.com
airG Worldwide Cooperatie UA,NL - NETHERLANDS,airg.com
Simplifiers IVS,DK - DENMARK,airmatemobile.com/
Aitos International Ltd,MT - MALTA,aitos.com.mt
AJ Scooters,DK - DENMARK,ajscooters.com
AJ Scooters,DK - DENMARK,ajscooters.dk
Åland Post Ab,AX - ÅLAND ISLANDS,alandpost.ax/
Åland Post Ab,AX - ÅLAND ISLANDS,alandstamps.com/
Albelli BV,NL - NETHERLANDS,albelli.nl
Guveau AB,SE - SWEDEN,alexisstockholm.no
Alfaholics Limited,GB - UNITED KINGDOM,alfaholics.com
Hedlund Holding AB,SE - SWEDEN,aliceandwhite.com
ALIBABA.COM SINGAPORE E-,SG - SINGAPORE,aliexpress.com/
"COMMERCE PRIVATE LIMITED
Allabeslag Sverige AB",SE - SWEDEN,allabeslag.se
Allabeslag Sverige AB,SE - SWEDEN,allebeslag.no
Allgots Organic AB,SE - SWEDEN,allgots.com
Allmogens Norden AB,SE - SWEDEN,allmogens.se
Fanomedia,SE - SWEDEN,alltingkatt.se
Alma och Olmo HB,SE - SWEDEN,almaocholmo.com
ALTpoipoi I/S,DK - DENMARK,altpoipoi.dk
Digger Streetwear Ltd t/a FLATSPOT,GB - UNITED KINGDOM,alwaysincolour.com
Amazon Japan G.K.,JP - JAPAN,amazon.co.jp
Amazon Digital UK Limited,GB - UNITED KINGDOM,amazon.co.uk
Amazon Media EU S.A r.l.,LU - LUXEMBOURG,amazon.co.uk
Amazon Online UK Limited,GB - UNITED KINGDOM,amazon.co.uk
Amazon.com Services,US - UNITED STATES,amazon.com
Amazon EU Sarl,LU - LUXEMBOURG,amazon.de
Amazon Services Europe Sarl,LU - LUXEMBOURG,amazon.de
Amazon EU Sarl,LU - LUXEMBOURG,amazon.es
Amazon Services Europe Sarl,LU - LUXEMBOURG,amazon.es
Amazon EU Sarl,LU - LUXEMBOURG,amazon.fr
Amazon Services Europe Sarl,LU - LUXEMBOURG,amazon.fr
Amazon EU Sarl,LU - LUXEMBOURG,amazon.it
Amazon Services Europe Sarl,LU - LUXEMBOURG,amazon.it
Amazon EU Sarl,LU - LUXEMBOURG,amazon.nl
Amazon Services Europe Sarl,LU - LUXEMBOURG,amazon.nl
EGOREL LIMITED,CY - CYPRUS,amediabundle.com
"AmericanJeans.com, Inc.",US - UNITED STATES,americanjeans.com
Exeligo Limited,GB - UNITED KINGDOM,amusicheavn24.com
Ancestry.com Operations Inc.,US - UNITED STATES,ancestry.com
Ancestry Information Operations,IE - IRELAND,ancestry.ie
"Unlimited Company
AnchorFree Gmbh",CH - SWITZERLAND,anchorfree.com
Anderida Books,GB - UNITED KINGDOM,anderidabooks.co.uk
ANGELOPOULOS HAIR COMPANY OE,GR - GREECE,angelopouloshair.gr/
Anideko A/S,DK - DENMARK,anideko.com
Anine Bing Corporation,US - UNITED STATES,aninebing.com/
Annex Products Pty Ltd,AU - AUSTRALIA,annexproducts.com/
Anthropics Technology Limited,GB - UNITED KINGDOM,anthropics.com
URBN US Retail LLC,US - UNITED STATES,anthropologie.com/
A & N TRIMMINGS LTD,GB - UNITED KINGDOM,antrimm.co.uk
ANTECO SYSTEMS,ES - SPAIN,anytech365.com
Apidura,GB - UNITED KINGDOM,apidura.com
AppCreators B.V.,NL - NETHERLANDS,appcreators.com/
Appogee B.V.,NL - NETHERLANDS,appogee.nl
Appspartner B.V,NL - NETHERLANDS,appspartner.com/
Happy Diskus - e.Kfr.,DE - GERMANY,aquaristikshop.com
ARMexia AB,SE - SWEDEN,araratbutik.com
Argentum Antiques And Collectables Ltd,GB - UNITED KINGDOM,argentum-uk.com
Ariat Europe Limited,GB - UNITED KINGDOM,ariat.com/
Basiswear,DK - DENMARK,army-star.dk
Aros Sport Media AB,SE - SWEDEN,arossportmedia.se
Hantverk och keramikcenter i Sverige,SE - SWEDEN,art4fun.se
"AB
DANIELA DALLAVALLE SPA",IT - ITALY,artepura.it
Artos,DK - DENMARK,artos.dk
ASKET AB,SE - SWEDEN,asket.com
"A Small Orange, LLC",US - UNITED STATES,asmallorange.com
ASOS.COM Limited,GB - UNITED KINGDOM,asos.com/women/
Atelier Aarhus,DK - DENMARK,atelieraarhus.com
Atlassian Pty Ltd,AU - AUSTRALIA,atlassian.com/
ATP Media Operations Limited,GB - UNITED KINGDOM,atpmedia.tv/
JKZ Trading ApS,DK - DENMARK,atvimport.dk/shop/frontpage.html
Audible Ltd,GB - UNITED KINGDOM,audible.co.uk
"Audible, Inc",US - UNITED STATES,audible.com
Audible Australia Pty Ltd,AU - AUSTRALIA,audible.com.au
Audible GmbH,DE - GERMANY,audible.de
Asimakopoulos Nikolaos,GR - GREECE,audiocables.eu
Autodesk Direct Ltd,GB - UNITED KINGDOM,autodesk.co.uk/store
Aut O'mattic A8C Ireland Limited,IE - IRELAND,automattic.com
Bubblestorm Management (Pty) Ltd.,ZA - SOUTH AFRICA,automattic.com
AVANGATE BV,NL - NETHERLANDS,avangate.com
AVILASA SANCHO SL,ES - SPAIN,avilasasancho.com
"Amazon Web Services, Inc",US - UNITED STATES,aws.amazon.com/
Axel Arigato AB,SE - SWEDEN,axelarigato.no
BabyNord AB,SE - SWEDEN,babynord.se
"Backblaze, Inc.",US - UNITED STATES,backblaze.com
back on track ab,SE - SWEDEN,backontrack.com/
backpackinglight ab,SE - SWEDEN,backpackinglight.se
Bakkegårdens-foder,DK - DENMARK,bakkegaarden.eu
Bali Body Pty Ltd,AU - AUSTRALIA,balibody.com
House of Ball International Aps,DK - DENMARK,balloriginal.com
Banana Fingers Limited,GB - UNITED KINGDOM,bananafingers.co.uk/
Barato ApS,DK - DENMARK,barato.dk
